Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote (Price),source
DDD,3D Systems Corporation,12.66,$1.45B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,AMEX
MMM,3M Company,198.37,$115.51B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,AMEX
WBAI,500.com Limited,7.9,$335.64M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai,AMEX
WUBA,58.com Inc.,58.89,$8.69B,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,AMEX
EGHT,8x8 Inc,18.26,$1.74B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,AMEX
AHC,A.H. Belo Corporation,4.54,$98.26M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,AMEX
ATEN,"A10 Networks, Inc.",6.15,$453.86M,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,AMEX
AAC,"AAC Holdings, Inc.",2.44,$60.03M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,AMEX
AIR,AAR Corp.,46.88,$1.64B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,AMEX
AAN,"Aaron&#39;s,  Inc.",49.74,$3.61B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,AMEX
ABB,ABB Ltd,19.7,$42B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,AMEX
ABT,Abbott Laboratories,69.49,$122.05B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,AMEX
ABBV,AbbVie Inc.,88.22,$132.7B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,AMEX
ANF,Abercrombie & Fitch Company,18.37,$1.23B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,AMEX
AGD,Aberdeen Global Dynamic Dividend Fund,9.36,$117.46M,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd,AMEX
AWP,Aberdeen Global Premier Properties Fund,5.57,$475.72M,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp,AMEX
ACP,Aberdeen Income Credit Strategies Fund,12.9227,$168.95M,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp,AMEX
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.3,$97.74M,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq,AMEX
AOD,Aberdeen Total Dynamic Dividend Fund,8.09,$870.43M,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod,AMEX
ABM,ABM Industries Incorporated,30.07,$1.98B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,AMEX
