Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,Easy Access Saver Issue 31,1-250000,Online,,Fixed,1.01%,1.01%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,Saving to Buy Issue 7,1-30000,Online,,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-05,UK,London,TSB,GBP,Bank,Deposits,Savings,,eSavings,1,Online,,Fixed,0.45%,0.45%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Savings,,Instant Access Savings Account,1,Online,,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-05,UK,London,TSB,GBP,Bank,Deposits,Savings,,Easy Saver,1,Online,,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-05,UK,London,The Co-operative Bank,GBP,Bank,Deposits,Savings,,Smart Saver,1-1000000,Online,,Fixed,0.34%,0.34%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,Everyday Saver,1-2000000,Online,,Fixed,0.25%,0.25%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,eSaver for 1|2|3  Issue 15,1-2000000,Online,,Fixed,0.25%,0.25%,comparethemarket.com
 2018-04-05,UK,London,Bank of Scotland,GBP,Bank,Deposits,Savings,,Access Saver ,1,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-05,UK,London,Barclays,GBP,Bank,Deposits,Savings,,Everyday Saver,1,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-05,UK,London,Halifax,GBP,Bank,Deposits,Savings,,Everyday Saver ,1,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-05,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,,Club Lloyds Saver,1,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,eSaver Issue 15,1-2000000,Online,,Fixed,0.15%,0.15%,comparethemarket.com
 2018-04-05,UK,London,Bank of Ireland,GBP,Bank,Deposits,Savings,,Classic Saver,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Savings,,Instant Savings Account ,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Savings,,Savings Account Plus,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Savings,,Signature Savings Account,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Savings,,Premier Savings,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,NatWest,GBP,Bank,Deposits,Savings,,Instant Saver Account,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,NatWest,GBP,Bank,Deposits,Savings,,Premium Saver Account,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,,Instant Saver Account,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Savings,,Flexible Saver - Standard Rate,1,Online,,Fixed,0.05%,0.05%,comparethemarket.com
 2018-04-05,UK,London,Halifax,GBP,Bank,Deposits,Savings,,ISA Saver Fixed - 5 Year ,500,Online,60.0,Fixed,2.25%,2.25%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,5 Year Fixed Rate Cash E-ISA Issue 321,1-2000000,Online,60.0,Fixed,2.05%,2.05%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,5 Year Fixed Rate Cash ISA Issue 356,1-2000000,Offline,60.0,Fixed,2.05%,2.05%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,3 Year Fixed Rate Cash E-ISA Issue 320,1-2000000,Online,36.0,Fixed,1.85%,1.85%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,3 Year Fixed Rate Cash ISA Issue 355,1-2000000,Offline,36.0,Fixed,1.85%,1.85%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Savings,,5 Year Fixed Rate Cash ISA -Issue 5,1,Online,60.0,Fixed,1.75%,1.75%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,2 Year Fixed Rate Cash E-ISA Issue 318,1-2000000,Online,24.0,Fixed,1.56%,1.56%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,2 Year Fixed Rate Cash ISA Issue 354,1-2000000,Offline,24.0,Fixed,1.56%,1.56%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Savings,,3 Year Fixed Rate Cash ISA -Issue 5,1,Online,36.0,Fixed,1.50%,1.50%,comparethemarket.com
 2018-04-05,UK,London,Barclays,GBP,Bank,Deposits,Savings,,2 Year Premier Flexible Cash ISA - Issue 4,1-1000000,Online,24.0,Fixed,1.40%,1.40%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Savings,,2 Year Fixed Rate Cash ISA - Issue 7,1,Online,24.0,Fixed,1.40%,1.40%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,1 Year Fixed Rate Cash E-ISA Issue 319,1-2000000,Online,12.0,Fixed,1.30%,1.30%,comparethemarket.com
