Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-09,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,10000,Offline,10,Variable,1.39%,3.3%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,1.5%,3.4%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,10000,Offline,10,Variable,1.54%,3.4%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,25000,Offline,10,Variable,1.55%,3.3%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,1.59%,3.5%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,1.64%,3.5%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,10000,Offline,10,Variable,1.54%,3.4%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,25000,Offline,10,Variable,1.55%,3.3%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,1.59%,3.5%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,1.64%,3.5%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,0,Offline,10,Variable,1.74%,4.0%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,25000,Offline,10,Variable,1.79%,3.3%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,1.79%,3.5%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,25000,Offline,10,Variable,1.85%,3.5%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,25000,Offline,10,Variable,1.85%,3.5%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,3Year Fixed,10000,Offline,10,Variable,1.89%,3.2%,72000,20,New Purchase,Primary Residence,Principal + Interest,3.0,moneysupermarket.com
 2018-04-09,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,0,Offline,10,Variable,1.89%,4.2%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,10000,Offline,10,Variable,1.94%,3.2%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,3Year Fixed,50000,Offline,10,Variable,1.94%,3.4%,72000,20,New Purchase,Primary Residence,Principal + Interest,3.0,moneysupermarket.com
 2018-04-09,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,50000,Offline,10,Variable,1.94%,3.7%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,5Year Fixed,50000,Offline,10,Variable,1.99%,2.9%,72000,20,New Purchase,Primary Residence,Principal + Interest,5.0,moneysupermarket.com
 2018-04-09,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,0,Offline,10,Variable,1.99%,4.1%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,5Year Fixed,10000,Offline,10,Variable,2.04%,2.8%,72000,20,New Purchase,Primary Residence,Principal + Interest,5.0,moneysupermarket.com
 2018-04-09,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,10YMF,5Year Fixed,25000,Offline,10,Variable,2.04%,2.9%,72000,20,New Purchase,Primary Residence,Principal + Interest,5.0,moneysupermarket.com
 2018-04-09,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5Year Fixed,25000,Offline,10,Variable,2.04%,2.9%,72000,20,New Purchase,Primary Residence,Principal + Interest,5.0,moneysupermarket.com
 2018-04-09,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,3Year Fixed,10000,Offline,10,Variable,2.09%,3.0%,72000,20,New Purchase,Primary Residence,Principal + Interest,3.0,moneysupermarket.com
 2018-04-09,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,2.09%,3.3%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,5Year Fixed,5000,Offline,10,Variable,2.1%,2.9%,72000,20,New Purchase,Primary Residence,Principal + Interest,5.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,5000,Offline,10,Variable,2.1%,3.4%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,5Year Fixed,5000,Offline,10,Variable,2.14%,3.0%,72000,20,New Purchase,Primary Residence,Principal + Interest,5.0,moneysupermarket.com
 2018-04-09,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,10YMF,2Year Fixed,0,Offline,10,Variable,2.14%,4.3%,72000,20,New Purchase,Primary Residence,Principal + Interest,2.0,moneysupermarket.com
 2018-04-09,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,5Year Fixed,25000,Offline,10,Variable,2.15%,2.8%,72000,20,New Purchase,Primary Residence,Principal + Interest,5.0,moneysupermarket.com
