Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Easy Access Saver Issue 31,1,250000,Online,,Fixed,1.01%,1.01%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Saving to Buy Issue 7,1,30000,Online,,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-11,UK,London,TSB,Private,GBP,Bank,Deposits,Savings,_MSBF,eSavings,1,,Online,,Fixed,0.45%,0.45%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,_MSBF,Instant Access Savings Account,1,,Online,,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-11,UK,London,TSB,Private,GBP,Bank,Deposits,Savings,_MSBF,Easy Saver,1,,Online,,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-11,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Smart Saver,1,1000000,Online,,Fixed,0.34%,0.34%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,1,2000000,Online,,Fixed,0.25%,0.25%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,eSaver for 1|2|3  Issue 15,1,2000000,Online,,Fixed,0.25%,0.25%,comparethemarket.com
 2018-04-11,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,_MSBF,Access Saver ,1,,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-11,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,1,,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-11,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver ,1,,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-11,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Saver,1,,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,eSaver Issue 15,1,2000000,Online,,Fixed,0.15%,0.15%,comparethemarket.com
 2018-04-11,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Classic Saver,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account ,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Savings Account Plus,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Premier Savings,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver Account,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Premium Saver Account,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver Account,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Flexible Saver - Standard Rate,1,,Online,,Fixed,0.05%,0.05%,comparethemarket.com
 2018-04-11,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,60MSBF,ISA Saver Fixed - 5 Year ,500,,Online,60.0,Fixed,2.25%,2.25%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,60MSBF,5 Year Fixed Rate Cash E-ISA Issue 321,1,2000000,Online,60.0,Fixed,2.05%,2.05%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,36MSBF,3 Year Fixed Rate Cash ISA Issue 355,1,2000000,Offline,36.0,Fixed,1.85%,1.85%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,60MSBF,5 Year Fixed Rate Cash ISA -Issue 5,1,,Online,60.0,Fixed,1.75%,1.75%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,36MSBF,3 Year Fixed Rate Cash ISA -Issue 5,1,,Online,36.0,Fixed,1.50%,1.50%,comparethemarket.com
 2018-04-11,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,24MSBF,2 Year Premier Flexible Cash ISA - Issue 4,1,1000000,Online,24.0,Fixed,1.40%,1.40%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,24MSBF,2 Year Fixed Rate Cash ISA - Issue 7,1,,Online,24.0,Fixed,1.40%,1.40%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,12MSBF,1 Year Fixed Rate Cash E-ISA Issue 319,1,2000000,Online,12.0,Fixed,1.30%,1.30%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,12MSBF,1 Year Fixed Rate Cash ISA Issue 353,1,2000000,Offline,12.0,Fixed,1.30%,1.30%,comparethemarket.com
 2018-04-11,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,24MSBF,2 Year Flexible Cash ISA - Issue 17,1,1000000,Online,24.0,Fixed,1.25%,1.25%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,12MSBF,1 Year Fixed Rate Cash ISA -Issue 13,1,,Online,12.0,Fixed,1.25%,1.25%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Easy Access Cash E-ISA Issue 23 (Flexible ISA),1,2000000,Online,,Fixed,1.16%,1.16%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Easy Access Cash ISA Issue 23 (Flexible ISA),1,2000000,Online,,Fixed,1.16%,1.16%,comparethemarket.com
 2018-04-11,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Fixed Rate ISA Issue 195,1000,,Offline,,Fixed,1.15%,1.15%,comparethemarket.com
 2018-04-11,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,_MSBF,Fixed Rate ISA Issue 195,1000,,Offline,,Fixed,1.15%,1.15%,comparethemarket.com
 2018-04-11,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,24MSBF,ISA Saver Fixed - 2 Year ,1,,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Fixed Rate ISA Issue 194,1000,,Offline,,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,_MSBF,Fixed Rate ISA Issue 194,1000,,Offline,,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,TSB,Private,GBP,Bank,Deposits,Savings,24MSBF,2 Year Fixed Rate Cash ISA,1,,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Savings,24MSBF,2 Year Fixed Rate ISA (123),500,,Offline,24.0,Fixed,0.80%,0.80%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Premier Customer,1,,Online,,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,_MSBF,Instant Access Cash ISA,1,,Online,,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Advance Customer,1,,Online,,Fixed,0.65%,0.65%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,eISA 123 Customer,1,,Online,,Fixed,0.60%,0.60%,comparethemarket.com
 2018-04-11,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Online Cash ISA,1,1000000,Online,,Fixed,0.56%,0.56%,comparethemarket.com
 2018-04-11,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA - Issue 1,1,,Online,,Fixed,0.55%,0.55%,comparethemarket.com
