Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.89,4.2,,40,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.94,4.2,,30,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.99,4.2,,25,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,2.19,4.3,,20,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,2.29,4.4,,15,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,2.69,4.5,,10,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.19,4,,40,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.24,4,,30,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.29,4.1,,25,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.49,4.2,,20,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.59,4.3,,15,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.99,4.4,,10,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.24,3.5,,40,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.29,3.6,,30,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.34,3.7,,25,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.54,3.9,,20,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.64,3.9,,15,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,3.04,4.1,,10,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.84,4,,40,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.89,4,,30,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.94,4.1,,25,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.14,4.2,,20,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.24,4.2,,15,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.64,4.3,,10,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.04,3.6,,40,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.09,3.6,,30,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.14,3.7,,25,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.34,3.9,,20,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.44,4,,15,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.84,4.1,,10,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.39,4.4,,40,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,2.19,4.5,,10,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
