Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Term Deposits,,Britannia 1yr Fixed Rate Bond,1000.0,,Offline,12.0,Fixed,0.65,0.65
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Term Deposits,,Britannia 2yr Fixed Rate Bond,1000.0,,Offline,24.0,Fixed,0.75,0.75
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Term Deposits,,Britannia 3yr Fixed Rate Bond,1000.0,,Offline,36.0,Fixed,0.9,0.9
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Term Deposits,,Britannia Fixed Rate Cash ISA - fixed until 05/04/2019,5000.0,,Offline,,Fixed,0.8,0.8
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Term Deposits,,Britannia Fixed Rate Cash ISA - fixed until 05/04/2020,5000.0,,Offline,,Fixed,0.9,0.9
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Select Access Saver 8,1.0,,Offline,,Variable,0.6,0.6
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Select Access Saver 8,1.0,,Offline,,Variable,0.1,0.1
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Cash ISA,1.0,,Offline,,Variable,0.46,0.46
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia The Co-operative Membership Savings,1.0,,Offline,,Variable,0.25,0.25
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Future Fund Account,5000.0,,Offline,,Variable,0.34,0.34
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Future Fund Account,1000.0,,Offline,,Variable,0.34,0.34
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Future Fund Account,1.0,,Offline,,Variable,0.34,0.34
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Online Cash ISA,1.0,,Online,,Variable,0.56,0.56
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Online Saver,1.0,,Online,,Variable,0.56,0.56
 2018-03-20,UK,London,The Co-operative Bank,,GBP,Bank,Deposits,Savings,,Britannia Smart Saver,1.0,,Offline,,Variable,0.34,0.34
