Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +0.89% for 2 years,,Offline,10,Variable,1.39%,3.62%,72000,20%,New Purchase,Primary Residence,Principal + Interest,,comparethemarket.com
 2018-04-06,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.5% until 30/04/2020,,Offline,10,Variable,1.50%,3.76%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Santander Bank,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.54% until 02/07/2020,,Offline,10,Variable,1.54%,3.47%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.54% until 31/05/2020,,Offline,10,Variable,1.54%,3.66%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.59% until 30/06/2020,,Offline,10,Variable,1.59%,3.71%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Halifax,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.62% until 30/06/2020,,Offline,10,Variable,1.62%,3.72%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.71% until 01/07/2020,,Offline,10,Variable,1.71%,4.39%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +1.24% until 01/07/2020,,Offline,10,Variable,1.74%,4.40%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +1.29% for 2 years,,Offline,10,Variable,1.79%,3.68%,72000,20%,New Purchase,Primary Residence,Principal + Interest,,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.84% until 01/07/2021,,Offline,10,Variable,1.84%,4.21%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Santander Bank,Private,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +1.34% until 02/07/2020,,Offline,10,Variable,1.84%,3.51%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.84% until 31/05/2020,,Offline,10,Variable,1.84%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.85% until 31/07/2020,,Offline,10,Variable,1.85%,3.73%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.85% until 31/07/2020,,Offline,10,Variable,1.85%,3.73%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.89% until 31/05/2021,,Offline,10,Variable,1.89%,3.57%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.93% until 30/04/2020,,Offline,10,Variable,1.93%,3.77%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Santander Bank,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.94% until 02/07/2020,,Offline,10,Variable,1.94%,3.48%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.94% until 31/05/2020,,Offline,10,Variable,1.94%,3.67%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.94% for 3 years,,Offline,10,Variable,1.94%,3.63%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.94% for 2 years,,Offline,10,Variable,1.94%,3.77%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Halifax,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.95% until 30/06/2021,,Offline,10,Variable,1.95%,3.63%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Halifax,Private,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +1.47% until 30/06/2020,,Offline,10,Variable,1.97%,3.77%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 1.99% for 5 years,,Offline,10,Variable,1.99%,3.38%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,Halifax,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.02% until 30/06/2020,,Offline,10,Variable,2.02%,3.73%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.03% until 01/07/2020,,Offline,10,Variable,2.03%,4.39%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
