Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"72,000 ",Offline,10,Variable,3.000%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,1,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"72,000 ",Offline,10,Variable,3.000%,4.000%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"72,000 ",Offline,10,Variable,3.000%,3.900%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"72,000 ",Offline,10,Variable,3.000%,3.700%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"72,000 ",Offline,10,Variable,3.300%,3.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,10,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,Variable (LTV 61% - 80%),"72,000 ",Offline,10,Variable,4.200%,4.300%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"216,000 ",Offline,10,Variable,3.000%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,1,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"216,000 ",Offline,10,Variable,3.000%,4.000%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"216,000 ",Offline,10,Variable,3.000%,3.900%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"216,000 ",Offline,10,Variable,3.000%,3.700%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"216,000 ",Offline,10,Variable,3.300%,3.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,10,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,Variable (LTV 61% - 80%),"216,000 ",Offline,10,Variable,4.200%,4.300%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"360,000 ",Offline,10,Variable,3.000%,4.200%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,1,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"360,000 ",Offline,10,Variable,3.000%,4.000%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"360,000 ",Offline,10,Variable,3.000%,3.900%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"360,000 ",Offline,10,Variable,3.000%,3.700%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"360,000 ",Offline,10,Variable,3.300%,3.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,10,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,Variable (LTV 61% - 80%),"360,000 ",Offline,10,Variable,4.200%,4.300%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"72,000 ",Offline,15,Variable,3.000%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,1,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"72,000 ",Offline,15,Variable,3.000%,4.000%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"72,000 ",Offline,15,Variable,3.000%,3.900%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"72,000 ",Offline,15,Variable,3.000%,3.700%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,The Co-operative Bank,GBP,Banks,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"72,000 ",Offline,15,Variable,3.300%,3.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,10,
