Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER,Bank_Product_Code
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Cash ISA Saver,1+,Offline,,Variable,0.35000000000000003%,0.35000000000000003%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Club Lloyds Monthly Saver,1+,Offline,,Variable,0.03%,0.03%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Club Lloyds Saver,"1,500+",Offline,,Variable,0.35000000000000003%,0.35000000000000003%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Club Lloyds Saver,"1 to 1,499",Offline,,Variable,0.2%,0.2%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Easy Saver,1+,Offline,,Variable,0.2%,0.2%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Term Deposits,Fixed Bond – 1 Year,"2,000+",Offline,12.0,Variable,0.4%,0.4%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Term Deposits,Fixed Rate Cash ISA – 2 Year,1+,Offline,24.0,Variable,0.5%,0.5%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Help to Buy: ISA,1+,Offline,,Variable,1.5%,1.5%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Easy Saver,1+,Offline,,Variable,0.2%,0.2%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Term Deposits,Fixed Bond – 1 Year,"2,000+",Offline,12.0,Variable,0.4%,0.4%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Term Deposits,Fixed Rate Cash ISA – 2 Year,1+,Offline,24.0,Variable,0.5%,0.5%,
03-15-2018,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,Help to Buy: ISA,1+,Offline,,Variable,1.5%,1.5%,
