Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"72,000 ",Offline,30,Variable,1.940%,3.900%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"72,000 ",Offline,30,Variable,1.940%,3.800%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"72,000 ",Offline,30,Variable,1.990%,3.500%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"216,000 ",Offline,30,Variable,1.940%,3.800%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"216,000 ",Offline,30,Variable,1.940%,3.700%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"216,000 ",Offline,30,Variable,1.990%,3.400%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"360,000 ",Offline,30,Variable,1.940%,3.800%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"360,000 ",Offline,30,Variable,1.940%,3.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"360,000 ",Offline,30,Variable,1.990%,3.400%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"72,000 ",Offline,10,Variable,1.940%,3.700%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"72,000 ",Offline,10,Variable,1.940%,3.400%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"72,000 ",Offline,10,Variable,1.990%,2.900%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"216,000 ",Offline,10,Variable,1.940%,3.400%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"216,000 ",Offline,10,Variable,1.940%,3.100%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"216,000 ",Offline,10,Variable,1.990%,2.700%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"360,000 ",Offline,10,Variable,1.940%,3.400%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"360,000 ",Offline,10,Variable,1.940%,3.100%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"360,000 ",Offline,10,Variable,1.990%,2.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"72,000 ",Offline,15,Variable,1.940%,3.800%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"72,000 ",Offline,15,Variable,1.940%,3.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"72,000 ",Offline,15,Variable,1.990%,3.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"216,000 ",Offline,15,Variable,1.940%,3.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"216,000 ",Offline,15,Variable,1.940%,3.400%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"216,000 ",Offline,15,Variable,1.990%,3.000%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"360,000 ",Offline,15,Variable,1.940%,3.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"360,000 ",Offline,15,Variable,1.940%,3.300%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"360,000 ",Offline,15,Variable,1.990%,2.900%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"72,000 ",Offline,25,Variable,1.940%,3.900%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"72,000 ",Offline,25,Variable,1.940%,3.700%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"72,000 ",Offline,25,Variable,1.990%,3.400%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"216,000 ",Offline,25,Variable,1.940%,3.800%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"216,000 ",Offline,25,Variable,1.940%,3.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"216,000 ",Offline,25,Variable,1.990%,3.300%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,2 year Fixed,"360,000 ",Offline,25,Variable,1.940%,3.700%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,3 year Fixed,"360,000 ",Offline,25,Variable,1.940%,3.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,3,
3/19/2018,UK,London,Metro Bank,GBP,Banks,Mortgages,Mortgages,5 year Fixed,"360,000 ",Offline,25,Variable,1.990%,3.300%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
