Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER,Bank_Product_Code
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Savings,Easy Access Cash E-ISA,1 ,Online,,Variable,1.21%,1.21%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,1 Year Fixed Rate Cash E-ISA,1 ,Online,12.0,Fixed,1.50%,1.50%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,2 Year Fixed Rate Cash E-ISA,1 ,Online,24.0,Fixed,1.66%,1.66%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,3 Year Fixed Rate Cash E-ISA,1 ,Online,36.0,Fixed,2.00%,2.00%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,5 Year Fixed Rate Cash E-ISA,1 ,Online,60.0,Fixed,2.15%,2.15%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Savings,Help to Buy: ISA,1 ,Online,,Variable,2.25%,2.25%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Savings,Easy Access Cash ISA,1 ,Offline,,Variable,1.21%,1.21%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,1 Year Fixed Rate Cash ISA,1 ,Offline,12.0,Fixed,1.50%,1.50%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,2 Year Fixed Rate Cash ISA,1 ,Offline,24.0,Fixed,1.66%,1.66%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,3 Year Fixed Rate Cash ISA,1 ,Offline,36.0,Fixed,2.00%,2.00%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,5 Year Fixed Rate Cash ISA,1 ,Offline,60.0,Fixed,2.15%,2.15%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Savings,Regular E-Saver,"1-3,500 ",Online,,Fixed,2.25%,2.25%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Savings,Saving to Buy,"1-30,000 ",Online,,Variable,0.75%,0.75%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Savings,Regular Saver,"1-3,250 ",Offline,,Fixed,2.25%,2.25%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Savings,Easy Access Saver,"1-250,000 ",Offline,,Variable,1.01%,1.01%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,1 Year Fixed Rate E-Bond,"1-1,000,000 ",Online,12.0,Fixed,1.25%,1.25%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,3 Year Fixed Rate E-Bond,"1-1,000,000 ",Online,36.0,Fixed,1.50%,1.50%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,5 Year Fixed Rate E-Bond,"1-1,000,000 ",Online,60.0,Fixed,1.75%,1.75%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,1 Year Fixed Rate Bond,"1-1,000,000 ",Offline,12.0,Fixed,1.25%,1.25%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,3 Year Fixed Rate Bond,"1-1,000,000 ",Offline,36.0,Fixed,1.50%,1.50%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Term Deposits,5 Year Fixed Rate Bond,"1-1,000,000 ",Offline,60.0,Fixed,1.75%,1.75%,
03-19-2018,UK,London,Virgin Money Plc,GBP,Bank,Deposits,Current,Essential Current Account,"100,000 ",Offline,,Variable,0.75%,0.75%,
