Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 2 Year Everyday Tracker,,Offline,10,Variable,1.74,4.4%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 2 Year Everyday Fixed Cashback,,Offline,10,Fixed,1.81,4.4%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 2 Year Everyday Fixed Cashback FTB,,Offline,10,Fixed,1.89,4.4%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 2 Year Everyday Freedom to Fix Tracker,,Offline,10,Variable,1.99,4.4%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 3 Year Everyday Fixed Cashback,,Offline,10,Fixed,1.99,4.2%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 2 Year Everyday Fixed,,Offline,10,Fixed,2.11,4.4%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 3 Year Everyday Fixed Cashback FTB,,Offline,10,Fixed,2.18,4.3%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 3 Year Everyday Fixed,,Offline,10,Fixed,2.29,4.3%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 5 Year Everyday Fixed Cashback,,Offline,10,Fixed,2.39,4.0%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages, 2 Year Everyday Tracker,,Offline,10,Variable,2.44,4.4%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
