Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,1.89%,4.20%,,40%,Existing Customers ,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,1.94%,4.20%,,30%,Existing Customers ,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,1.99%,4.20%,,25%,Existing Customers ,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,2.19%,4.30%,,20%,Existing Customers ,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,2.29%,4.40%,,15%,Existing Customers ,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,2.69%,4.50%,,10%,Existing Customers ,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.19%,4.00%,,40%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.24%,4.00%,,30%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.29%,4.10%,,25%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.49%,4.20%,,20%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.59%,4.30%,,15%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.99%,4.40%,,10%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,5 Year Fixed Rate,5000,Offline,,Variable,2.24%,3.50%,,40%,Existing Customers ,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,5 Year Fixed Rate,5000,Offline,,Variable,2.29%,3.60%,,30%,Existing Customers ,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,5 Year Fixed Rate,5000,Offline,,Variable,2.34%,3.70%,,25%,Existing Customers ,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,5 Year Fixed Rate,5000,Offline,,Variable,2.54%,3.90%,,20%,Existing Customers ,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,5 Year Fixed Rate,5000,Offline,,Variable,2.64%,3.90%,,15%,Existing Customers ,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,5 Year Fixed Rate,5000,Offline,,Variable,3.04%,4.10%,,10%,Existing Customers ,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,1.84%,4.00%,,40%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,1.89%,4.00%,,30%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,1.94%,4.10%,,25%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.14%,4.20%,,20%,Existing Customers ,Primary Residence,Principal + Interest,3,Bank Website
