Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Regular savings balance,0,9999,Online,,Fixed,1.20%,1.20%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Lump sum balance,10000,,Online,,Fixed,0.25%,0.25%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,365 12 Month Fixed Term Deposit,5000,1000000,Online,12,Fixed,0.24%,0.25%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,1,15000,Offline,,Fixed,1.35%,1.35%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,15000,,Offline,,Fixed,0.25%,0.25%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,6MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,6,Fixed,0.04%,0.10%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,12,Fixed,0.19%,0.20%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,36MCDF,Term Deposits - Fixed Rates,5000,10000000,Offline,36,Fixed,1.19%,0.40%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Current,_MCCF, Personal and Business,1,,Offline,,Fixed,0.00%,0.00%,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Classic Saver,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Limited Edition Fixed Term Deposit,2000,1000000,Offline,24,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,12 Month Limited Edition Fixed Term Deposit,2000,1000000,Offline,12,Fixed,0.60%,0.60%,comparethemarket.com
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,6MCDF,6 Month Limited Edition Fixed Term Deposit,2000,1000000,Offline,6,Fixed,0.30%,0.30%,comparethemarket.com
