Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,1 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.90%,72000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.80%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,3 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.60%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,10 Year Fixed LTV <=60%,,Offline,30,Variable,3.30%,3.50%,72000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,Variable (LTV <=60%),,Offline,30,Variable,3.90%,4.00%,72000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,1 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.90%,216000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.80%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,3 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,10 Year Fixed LTV <=60%,,Offline,30,Variable,3.30%,3.50%,216000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,Variable (LTV <=60%),,Offline,30,Variable,3.90%,4.00%,216000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,1 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.80%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,3 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed LTV <=60%,,Offline,30,Variable,3.00%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,10 Year Fixed LTV <=60%,,Offline,30,Variable,3.30%,3.50%,360000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,30YMV,Variable (LTV <=60%),,Offline,30,Variable,3.90%,4.00%,360000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,1 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.90%,72000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,2 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.80%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,3 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,5 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.60%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,10 Year Fixed LTV <=60%,,Offline,10,Fixed,3.30%,3.50%,72000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,Variable (LTV <=60%),,Offline,10,Variable,3.90%,4.00%,72000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,1 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.90%,216000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,2 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.80%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,3 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,5 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,10 Year Fixed LTV <=60%,,Offline,10,Fixed,3.30%,3.50%,216000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,Variable (LTV <=60%),,Offline,10,Variable,3.90%,4.00%,216000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,1 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,2 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.80%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,3 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,5 Year Fixed LTV <=60%,,Offline,10,Variable,3.00%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,10YMV,10 Year Fixed LTV <=60%,,Offline,10,Fixed,3.30%,3.50%,360000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
