Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Online Savings,,,Online,,Fixed,,1.45%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Money Market,,5000,Online,,Fixed,,0.90%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Money Market,5000,,Online,,Fixed,,0.90%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Money Market,25000,,Online,,Fixed,,1.00%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,,5000,Online,6,Fixed,,1.50%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,,5000,Online,12,Fixed,,1.75%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,,5000,Online,36,Fixed,,1.85%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,5000,24999,Online,6,Fixed,,1.60%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,5000,24999,Online,12,Fixed,,1.85%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,5000,24999,Online,36,Fixed,,2.00%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,25000,,Online,6,Fixed,,1.75%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,25000,,Online,12,Fixed,,2.00%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,25000,,Online,36,Fixed,,2.10%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,,15000,Online,,Fixed,,0.10%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,15000,,Online,,Fixed,,0.60%,Bank website
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Savings,0,,Online,,Fixed,,1.45%,bankrate.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,CD,25000,,Online,36,Fixed,,2.10%,bankrate.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,CD,25000,,Online,12,Fixed,,2.00%,bankrate.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Online Savings Account,,,Online,,Fixed,,1.45%,DepositsAccount.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,15000,,Online,,Fixed,,0.60%,DepositsAccount.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield 12-Month CD,25000,,Online,12,Fixed,,2.00%,DepositsAccount.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield 3 Year CD,25000,,Online,36,Fixed,,2.10%,DepositsAccount.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Online Savings Account,0,,Online,,Fixed,,1.45%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking,0,,Online,,Fixed,,0.10%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking,15000,,Online,,Fixed,,0.60%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,6 Month CD,0,,Online,6,Fixed,,1.50%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,6 Month CD,5000,,Online,6,Fixed,,1.60%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,6 Month CD,25000,,Online,6,Fixed,,1.75%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,36 Month CD,0,,Online,36,Fixed,,1.85%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,36 Month CD,5000,,Online,36,Fixed,,2.00%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,36 Month CD,25000,,Online,36,Fixed,,2.10%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,12 Month CD RT,0,,Online,12,Fixed,,1.75%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,12 Month CD RT,5000,,Online,12,Fixed,,1.85%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,12 Month CD RT,25000,,Online,12,Fixed,,2.00%,mybanktracker.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD,25000,,Online,12,Fixed,,2.00%,nerdwallet.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD,5000,,Online,12,Fixed,,1.85%,nerdwallet.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CD,25000,,Online,6,Fixed,,1.75%,nerdwallet.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CD,5000,,Online,6,Fixed,,1.60%,nerdwallet.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CD,1,,Online,6,Fixed,,1.50%,nerdwallet.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,,,Online,,Fixed,,,nerdwallet.com
 2018-04-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Ally Bank Savings Account,,,Online,,Fixed,1.45%,,us.deposits.org
 2018-04-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Savings,_MSBF,Rewards Savings/Minor Savings,,2500,Offline,,Fixed,0.03%,0.03%,Bank website
 2018-04-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Savings,_MSBF,Rewards Savings/Minor Savings,2500,,Offline,,Fixed,0.03%,0.03%,Bank website
 2018-04-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Bank of America Interest Checking,,50000,Offline,,Fixed,0.01%,0.01%,Bank website
 2018-04-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Bank of America Interest Checking,50000,99999,Offline,,Fixed,0.02%,0.02%,Bank website
 2018-04-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Bank of America Interest Checking,100000,,Offline,,Fixed,0.02%,0.02%,Bank website
