Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Britannia 1yr Fixed Rate Bond,1000,,Offline,12,Fixed,0.65%,0.65%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,Britannia 2yr Fixed Rate Bond,1000,,Offline,24,Fixed,0.75%,0.75%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,36MCDF,Britannia 3yr Fixed Rate Bond,1000,,Offline,36,Fixed,0.90%,0.9%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,_MCDF,Britannia Fixed Rate Cash ISA - fixed until 05/04/2019,5000,,Offline,,Fixed,0.80%,0.8%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,_MCDF,Britannia Fixed Rate Cash ISA - fixed until 05/04/2020,5000,,Offline,,Fixed,0.90%,0.9%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Select Access Saver 8,1,,Offline,,Fixed,0.60%,0.6%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Select Access Saver 8,1,,Offline,,Fixed,0.1%,0.1%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Cash ISA,1,,Offline,,Fixed,0.46%,0.46%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia The Co-operative Membership Savings,1,,Offline,,Fixed,0.25%,0.25%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Future Fund Account,5000,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Future Fund Account,1000,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Future Fund Account,1,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Online Cash ISA,1,,Online,,Fixed,0.56%,0.56%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Online Saver,1,,Online,,Fixed,0.56%,0.56%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Smart Saver,1,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Cash ISA,1,,Offline,,Fixed,0.46%,0.46%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank The Co-operative Membership Savings,1,,Offline,,Fixed,0.25%,0.25%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Future Fund Account,5000,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Future Fund Account,1000,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Future Fund Account,1,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Online Cash ISA,1,,Online,,Fixed,0.56%,0.56%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Online Saver,1,,Online,,Fixed,0.56%,0.56%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Smart Saver,1,,Offline,,Fixed,0.34%,0.34%
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Current,_MCCF,Current Account,,,Offline,,Fixed,,
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Current,_MCCF,Cashminder,,,Offline,,Fixed,,
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Regular savings balance,0,9999,Online,,Fixed,1.20%,1.20%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Lump sum balance,10000,,Online,,Fixed,0.25%,0.25%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,365 12 Month Fixed Term Deposit,5000,1000000,Online,12,Fixed,0.24%,0.25%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,1,15000,Offline,,Fixed,1.35%,1.35%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,15000,,Offline,,Fixed,0.25%,0.25%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,6MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,6,Fixed,0.04%,0.10%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,12,Fixed,0.19%,0.20%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,36MCDF,Term Deposits - Fixed Rates,5000,10000000,Offline,36,Fixed,1.19%,0.40%
 2018-03-20,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Current,_MCCF, Personal and Business,1,,Offline,,Fixed,0.00%,0.00%
 2018-03-20,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,12MSBF,Access Saver,,,Offline,12,Fixed,0.20%,0.20%
